"","DATE","SP_index","GDP_per_capita","unemployment_rate","weekly_median_income","GDP"
"1","2021-01-01",3662.45,NA,NA,NA,NA
"2","2020-10-01",3363,NA,NA,NA,NA
"3","2020-07-01",3100.29,56251,8.98820362624827,NA,18583.501
"4","2020-04-01",2584.59,52448,13.0682736267599,392,17302.511
"5","2020-01-01",3230.83,57691,3.87913678354027,367,19010.848
"6","2019-10-01",3024.31,58490,3.64341347017888,362,19253.959
"7","2019-07-01",2938.07,58229,3.68408626922223,360,19141.744
"8","2019-04-01",2872.21,57942,3.66406065245787,357,19020.599
"9","2019-01-01",2660.86,57789,3.88890354541088,355,18950.347
"10","2018-10-01",2992.86,57429,3.87381997162148,355,18813.923
"11","2018-07-01",2846.15,57317,3.80317007091078,354,18752.355
"12","2018-04-01",2820.11,57099,3.97436291088019,351,18654.383
"13","2018-01-01",2814.18,56785,4.11123282961329,351,18530.483
"14","2017-10-01",2629.89,56324,4.20750016536686,345,18359.432
"15","2017-07-01",2587.34,55874,4.39422853120405,352,18185.636
"16","2017-04-01",2527.85,55560,4.40189402519233,353,18054.052
"17","2017-01-01",2423.02,55401,4.63088248971338,352,17977.299
"18","2016-10-01",2327.14,55165,4.84779354693702,349,17876.179
"19","2016-07-01",2251.37,54918,4.96332219620031,346,17764.388
"20","2016-04-01",2210.92,54722,4.97796328383529,345,17668.203
"21","2016-01-01",2261.32,54640,4.98959840663311,346,17613.264
"22","2015-10-01",2127.81,54420,5.1716267614893,345,17514.062
"23","2015-07-01",2290.62,54439,5.20208774028006,340,17486.021
"24","2015-04-01",2293.78,54348,5.5108918416281,339,17422.845
"25","2015-01-01",2278.02,54071,5.59988227538594,341,17305.752
"26","2014-10-01",2180.44,53646,5.82481789285993,336,17143.038
"27","2014-07-01",2127.18,53452,6.1914559398358,336,17047.098
"28","2014-04-01",2053.54,52913,6.29232848512315,330,16841.475
"29","2014-01-01",2019.85,52293,6.72119613576771,335,16616.54
"30","2013-10-01",1876.24,52526,7.09956474473762,334,16663.649
"31","2013-07-01",1805.14,52212,7.44974522003459,334,16531.685
"32","2013-04-01",1734.81,51906,7.66418107651783,335,16403.18
"33","2013-01-01",1613,51921,7.77764399447739,331,16382.964
"34","2012-10-01",1624.19,51539,7.94040593427776,333,16239.138
"35","2012-07-01",1501.75,51578,8.17393326237226,333,16220.667
"36","2012-04-01",1576.96,51607,8.26014633809546,337,16198.807
"37","2012-01-01",1434.58,51468,8.33488864870087,335,16129.418
"38","2011-10-01",1347.2,51150,8.77128793930156,335,16004.107
"39","2011-07-01",1484.99,50660,9.19448423360746,336,15820.7
"40","2011-04-01",1520.02,50773,9.19719187526764,336,15825.096
"41","2011-01-01",1474.96,50495,9.1450887795668,338,15712.754
"42","2010-10-01",1337.56,50698,9.66216034025602,341,15750.625
"43","2010-07-01",1294.22,50545,9.68341069169964,342,15671.967
"44","2010-04-01",1378.39,50272,9.80684151588921,342,15557.277
"45","2010-01-01",1338.88,49903,9.93904701024306,344,15415.145
"46","2009-10-01",1259.39,49811,10.0535105214219,344,15356.058
"47","2009-07-01",1118.03,49384,9.8242584915501,345,15189.222
"48","2009-04-01",926.84,49318,9.38869037889437,345,15134.117
"49","2009-01-01",1086.94,49491,8.38524122535684,345,15155.94
"50","2008-10-01",1448.37,50154,6.98037525881747,340,15328.027
"51","2008-07-01",1596.08,51384,6.11034349121814,331,15667.032
"52","2008-04-01",1605.95,51790,5.41318230690371,335,15752.308
"53","2008-01-01",1833.83,51637,5.01059621040669,335,15671.383
"54","2007-10-01",1869.79,52049,4.8826633027276,332,15761.967
"55","2007-07-01",1892.36,51866,4.70056627134465,336,15666.738
"56","2007-04-01",1784.02,51719,4.56428151364397,335,15582.085
"57","2007-01-01",1827.65,51540,4.57595805049678,336,15493.328
"58","2006-10-01",1691.1,51532,4.53743683338239,337,15456.928
"59","2006-07-01",1608.23,51228,4.69063920149081,334,15326.368
"60","2006-04-01",1686.06,51281,4.74525117174331,329,15302.705
"61","2006-01-01",1669.86,51277,4.79095264910782,332,15267.026
"62","2005-10-01",1605.71,50715,5.03085394830003,332,15066.597
"63","2005-07-01",1609.52,50523,5.02519874829666,331,14972.054
"64","2005-04-01",1609.61,50204,5.17289714759835,334,14839.782
"65","2005-01-01",1640.88,50081,5.33561736477059,336,14771.602
"66","2004-10-01",1532.52,49637,5.48376982988485,337,14609.876
"67","2004-07-01",1554.86,49267,5.4886794971845,335,14464.984
"68","2004-04-01",1561.74,48927,5.65252256227064,341,14329.523
"69","2004-01-01",1526.78,48663,5.77338716985544,337,14221.147
"70","2003-10-01",1433.32,48499,5.92311357640255,337,14145.645
"71","2003-07-01",1400.45,48063,6.1656627722901,337,13985.073
"72","2003-04-01",1196.81,47378,6.22803818318998,338,13751.543
"73","2003-01-01",1294.28,47078,5.9563533727121,335,13634.253
"74","2002-10-01",1248.44,46916,5.92081088895706,336,13559.032
"75","2002-07-01",1467.7,46958,5.78837887824086,337,13538.072
"76","2002-04-01",1680.27,46868,5.90754007559512,339,13478.152
"77","2002-01-01",1687.19,46690,5.80876722934868,341,13397.002
"78","2001-10-01",1525.58,46386,5.57724266536854,340,13280.859
"79","2001-07-01",1812.05,46378,4.85530502806175,338,13244.784
"80","2001-04-01",1752.45,46693,4.49245511795195,336,13299.984
"81","2001-01-01",1991.71,46531,4.29239130712911,333,13222.69
"82","2000-10-01",2200.71,46771,3.97457276793017,334,13260.506
"83","2000-07-01",2208.1,46605,4.03955528805748,335,13178.419
"84","2000-04-01",2193.54,46669,3.98679983869787,334,13160.842
"85","2000-01-01",2210.4,45944,4.08815839847954,334,12924.179
"86","1999-10-01",2044.29,45894,4.12393517063744,335,12877.593
"87","1999-07-01",2072.06,45263,4.25659607180004,330,12662.385
"88","1999-04-01",2022.6,44820,4.29176802617811,329,12498.694
"89","1999-01-01",1890.63,44600,4.34174754960698,324,12403.293
"90","1998-10-01",1624.46,44293,4.43761234664172,328,12287
"91","1998-07-01",1770.62,43721,4.5578747922809,321,12091.614
"92","1998-04-01",1728.69,43315,4.47546811923152,319,11942.032
"93","1998-01-01",1553.56,43035,4.72704546581517,319,11832.486
"94","1997-10-01",1513.58,42719,4.71215338292393,314,11715.393
"95","1997-07-01",1423.43,42487,4.9015664895514,314,11615.636
"96","1997-04-01",1289.18,42102,5.04113138094805,314,11472.137
"97","1997-01-01",1220.26,41532,5.30485877485917,313,11284.587
"98","1996-10-01",1113.63,41375,5.33986625056077,313,11212.205
"99","1996-07-01",1110.84,41080,5.32732731967187,314,11096.976
"100","1996-04-01",1082.14,40848,5.53381071164791,312,10998.322
"101","1996-01-01",1042.52,40292,5.61644292943714,312,10817.896
"102","1995-10-01",983.71,40092,5.62209650944158,313,10737.478
"103","1995-07-01",920.92,39944,5.71908601372343,317,10665.06
"104","1995-04-01",848.15,39735,5.74249361171716,314,10575.1
"105","1995-01-01",791.76,39729,5.52154694734138,313,10543.644
"106","1994-10-01",813.86,39695,5.66897289046412,314,10506.372
"107","1994-07-01",800.22,39366,6.06286724925022,314,10387.382
"108","1994-04-01",820.45,39263,6.25177640181757,317,10327.019
"109","1994-01-01",832.15,38852,6.64591424643863,316,10188.954
"110","1993-10-01",824.13,38582,6.74538754170342,319,10091.049
"111","1993-07-01",807.96,38186,6.91662835087947,319,9955.641
"112","1993-04-01",816.27,38135,7.1808431500568,317,9908.347
"113","1993-01-01",799.4,38029,7.25135383493195,315,9850.973
"114","1992-10-01",771.18,38077,7.53313428380954,312,9834.51
"115","1992-07-01",758.26,37815,7.74484098810814,314,9732.979
"116","1992-04-01",761.46,37583,7.67154748961164,313,9637.732
"117","1992-01-01",733.6,37304,7.51058071037138,315,9534.346
"118","1991-10-01",734.86,36971,7.19783480874585,313,9421.565
"119","1991-07-01",724.28,36969,6.92847827361088,312,9388.845
"120","1991-04-01",718.05,36914,6.93884927126248,312,9341.642
"121","1991-01-01",639.78,36746,6.7005793360926,316,9269.367
"122","1990-10-01",618.91,37032,6.18731241326474,312,9312.937
"123","1990-07-01",722.41,37505,5.73335413237455,313,9398.499
"124","1990-04-01",684.78,37612,5.4476469887015,319,9392.251
"125","1990-01-01",719.84,37593,5.39392370108625,319,9358.289
"126","1989-10-01",723.46,37271,5.45180264153124,322,9257.128
"127","1989-07-01",679.19,37299,5.32927713374904,322,9238.923
"128","1989-04-01",623.19,37127,5.33205395901779,322,9170.977
"129","1989-01-01",597.49,36929,5.27404690849592,323,9101.508
"130","1988-10-01",582.5,36631,5.43936704015611,324,9009.913
"131","1988-07-01",597.35,36239,5.54401176330525,325,8891.435
"132","1988-04-01",593.86,36122,5.57646564176288,325,8839.641
"133","1988-01-01",543.79,35728,5.80407438985368,329,8725.006
"134","1987-10-01",721.61,35615,5.96109683805279,328,8680.162
"135","1987-07-01",691.46,35101,6.08323705356762,330,8533.635
"136","1987-04-01",679.42,34885,6.39679139486873,328,8460.233
"137","1987-01-01",585.81,34585,6.7245538440491,328,8369.93
"138","1986-10-01",563.07,34396,6.94574229335226,331,8308.021
"139","1986-07-01",583.32,34294,7.07966316243151,328,8263.639
"140","1986-04-01",555.96,34053,7.29271306017801,328,8185.303
"141","1986-01-01",493.86,33972,7.11269585456116,321,8148.603
"142","1985-10-01",442.64,33725,7.16359107853828,320,8073.239
"143","1985-07-01",457.13,33560,7.30441018043993,320,8013.674
"144","1985-04-01",439.04,33140,7.3966568498746,323,7893.136
"145","1985-01-01",406.78,32920,7.37804047961377,314,7824.247
"146","1984-10-01",411.91,32665,7.39846176283132,316,7749.151
"147","1984-07-01",384.43,32478,7.54915953616958,313,7686.059
"148","1984-04-01",399.46,32246,7.61408738276758,312,7612.668
"149","1984-01-01",422.58,31762,7.97860390314709,313,7483.371
"150","1983-10-01",432.34,31213,8.71136219773128,312,7339.893
"151","1983-07-01",435.46,30647,9.5017675653099,315,7189.896
"152","1983-04-01",404.01,30120,10.3053963320577,314,7048.982
"153","1983-01-01",371.91,29511,10.5627985004996,315,6892.144
"154","1982-10-01",325.55,29186,10.8626267348457,313,6802.497
"155","1982-07-01",294.48,29247,10.137455871835,311,6799.781
"156","1982-04-01",305.3,29434,9.6199749604096,314,6825.876
"157","1982-01-01",342.94,29365,8.97435029073486,312,6794.878
"158","1981-10-01",330.51,29892,8.42172611655915,312,6902.105
"159","1981-07-01",380.24,30300,7.55647411342523,309,6978.135
"160","1981-04-01",391.91,30023,7.51475870264939,311,6895.559
"161","1981-01-01",402.8,30316,7.51922760834299,314,6947.042
"162","1980-10-01",392.13,29794,7.56991432745809,315,6813.535
"163","1980-07-01",360.83,29328,7.8026964487953,319,6688.794
"164","1980-04-01",340.36,29451,7.41940013172952,315,6696.753
"165","1980-01-01",365.97,30154,6.37527395705733,321,6837.641
"166","1979-10-01",379.06,30145,6.05002123261003,326,6816.203
"167","1979-07-01",366.27,30163,5.94829447541204,330,6799.2
"168","1979-04-01",373.42,30031,5.78817270452855,335,6749.063
"169","1979-01-01",369.66,30077,5.92360176524487,335,6741.854
"170","1978-10-01",406.83,30100,5.96658666726675,NA,6729.755
"171","1978-07-01",390.02,29787,6.10178042754854,NA,6640.497
"172","1978-04-01",364.79,29577,6.03349214978094,NA,6574.39
"173","1978-01-01",393.39,28549,6.39516430803008,NA,6329.791
"174","1977-10-01",408.1,28525,6.68034504650565,NA,6309.652
"175","1977-07-01",425.93,28605,6.98803493216673,NA,6309.514
"176","1977-04-01",440.25,28177,7.15899562119618,NA,6197.686
"177","1977-01-01",468.43,27706,7.62628984736537,NA,6079.494
"178","1976-10-01",476.93,27446,7.83457410012412,NA,6008.504
"179","1976-07-01",466.68,27321,7.83070676001676,NA,5965.265
"180","1976-04-01",470.93,27242,7.59461304329655,NA,5932.711
"181","1976-01-01",416.15,27101,7.87320487597351,NA,5889.5
"182","1975-10-01",403.79,26562,8.32969935291226,NA,5759.972
"183","1975-07-01",448.88,26277,8.62690301736578,NA,5683.444
"184","1975-04-01",413.95,25911,8.8949584139306,NA,5587.8
"185","1975-01-01",336.5,25789,8.41034253431966,NA,5548.156
"186","1974-10-01",350.55,26160,6.63418090073378,NA,5616.526
"187","1974-07-01",477.15,26330,5.7161698519912,NA,5638.411
"188","1974-04-01",530.8,26649,5.27851455420004,NA,5692.21
"189","1974-01-01",534.19,26643,5.15679890133102,NA,5678.713
"190","1973-10-01",608.34,26929,4.83015221077786,NA,5727.96
"191","1973-07-01",617.39,26741,4.89354870753239,NA,5674.1
"192","1973-04-01",675.93,26949,5.01700279648599,NA,5704.098
"193","1973-01-01",719.9,26718,5.03660904996003,NA,5642.669
"194","1972-10-01",676.64,26129,5.36657460110267,NA,5506.396
"195","1972-07-01",674.39,25767,5.71338263784614,NA,5415.712
"196","1972-04-01",677.39,25592,5.77130408237708,NA,5365.045
"197","1972-01-01",628.29,25083,5.85385102472201,NA,5245.974
"198","1971-10-01",634.38,24689,6.03168300895341,NA,5151.245
"199","1971-07-01",639.55,24707,6.1560870895918,NA,5139.128
"200","1971-04-01",648.37,24581,5.99944118312041,NA,5097.179
"201","1971-01-01",589.14,24520,5.97760657976003,NA,5069.746
"202","1970-10-01",548.54,23945,5.8788042438492,NA,4935.693
"203","1970-07-01",507.29,24288,5.32538371377255,NA,4989.159
"204","1970-04-01",604.28,24148,4.79613333735974,NA,4943.6
"205","1970-01-01",629.28,24189,4.15975123733222,NA,4936.594
"206","1969-10-01",663.32,24284,NA,NA,4943.935
"207","1969-07-01",705.32,24475,NA,NA,4968.164
"208","1969-04-01",716.25,24383,NA,NA,4935.564
"209","1969-01-01",781.16,24365,NA,NA,4920.605
"210","1968-10-01",751.49,24039,NA,NA,4844.779
"211","1968-07-01",754.15,24009,NA,NA,4825.799
"212","1968-04-01",676.33,23889,NA,NA,4788.688
"213","1968-01-01",732.01,23551,NA,NA,4709.993
"214","1967-10-01",742.49,23129,NA,NA,4615.853
"215","1967-07-01",714.93,23020,NA,NA,4581.309
"216","1967-04-01",705.57,22869,NA,NA,4538.37
"217","1967-01-01",643.69,22911,NA,NA,4535.591
"218","1966-10-01",619.6,22766,NA,NA,4495.777
"219","1966-07-01",691.64,22650,NA,NA,4459.195
"220","1966-04-01",720.97,22528,NA,NA,4421.747
"221","1966-01-01",751.11,22510,NA,NA,4406.693
"222","1965-10-01",736.5,22030,NA,NA,4301.973
"223","1965-07-01",700.74,21604,NA,NA,4205.086
"224","1965-04-01",722.35,21205,NA,NA,4113.629
"225","1965-01-01",700.71,20997,NA,NA,4062.311
"226","1964-10-01",698.36,20558,NA,NA,3966.335
"227","1964-07-01",673.98,20567,NA,NA,3954.121
"228","1964-04-01",664.03,20324,NA,NA,3893.296
"229","1964-01-01",625.02,20169,NA,NA,3851.366
"230","1963-10-01",617.89,19814,NA,NA,3771.845
"231","1963-07-01",596.59,19761,NA,NA,3747.278
"232","1963-04-01",560.65,19410,NA,NA,3666.669
"233","1963-01-01",536.54,19257,NA,NA,3625.981
"234","1962-10-01",496.79,19111,NA,NA,3586.827
"235","1962-07-01",479.65,19126,NA,NA,3575.07
"236","1962-04-01",608.06,18967,NA,NA,3531.683
"237","1962-01-01",622.67,18863,NA,NA,3500.054
"238","1961-10-01",583.79,18598,NA,NA,3438.721
